	version_1	version_2	version_3
140	8350.t00141	9629.t00142	11667.t00141
141	8350.t00142	9629.t00143	11667.t00142
142	8350.t00143	9629.t00144	11667.t00143
143	8350.t00144	9629.t00145	11667.t00144
144	8350.t00145	9629.t00146	11667.t00145
145	8350.t00146	9629.t00147	11667.t00146
146	8350.t00147	9629.t00148	11667.t00147
147	8350.t00148	9629.t00149	11667.t00148
148	8350.t00149	9629.t00150	11667.t00149
149	8350.t00150	9629.t00151	11667.t00150
150	8350.t00151	9629.t00152	11667.t00151
151	8350.t00152	9629.t00153	11667.t00152
152	8350.t00153	9629.t00154	11667.t00153
153	8350.t00154	9629.t00155	11667.t00154
154	8350.t00155	9629.t00156	11667.t00155
155	8350.t00156	9629.t00157	11667.t00156
156	8350.t00158	9629.t00159	11667.t00158
157	8350.t00159	9629.t00160	11667.t00159
158	8350.t00160	9629.t00161	11667.t00160
159	8350.t00161	9629.t00162	11667.t00161
160	8350.t00162	9629.t00163	11667.t00162
161	8350.t00163	9629.t00164	11667.t00163
162	8350.t00164	9629.t00165	11667.t00164
163	8350.t00165	9629.t00166	
164	8350.t00166	9629.t00167	11667.t00166
165	8350.t00167	9629.t00168	11667.t00167
166	8350.t00168	9629.t00169	11667.t00168
167	8350.t00169	9629.t00170	11667.t00169
168	8350.t00171	9629.t00172	11667.t00171
169	8350.t00172	9629.t00173	11667.t00172
170	8350.t00173	9629.t00174	11667.t00173
171	8350.t00174	9629.t00175	11667.t00174
172	8350.t00175	9629.t00176	11667.t00175
173	8350.t00176	9629.t00177	11667.t00176
174	8350.t00177	9629.t00178	11667.t00177
175	8350.t00178	9629.t00179	11667.t00178
176	8350.t00179	9629.t00180	11667.t00179
177	8350.t00180	9629.t00181	11667.t00180
178	8350.t00181	9629.t00182	11667.t00181
179	8350.t00182	9629.t00183	11667.t00182
180	8350.t00183	9629.t00184	11667.t00183
181	8350.t00184	9629.t00185	11667.t00184
182	8350.t00185	9629.t00186	11667.t00185
183	8350.t00186	9629.t00187	11667.t00186
184	8350.t00187	9629.t00188	11667.t00187
185	8350.t00188	9629.t00189	11667.t00188
186	8350.t00189	9629.t00190	11667.t00189
187	8350.t00190	9629.t00191	11667.t00190
188	8350.t00191	9629.t00192	11667.t00191
189	8350.t00192	9629.t00193	11667.t00192
190	8350.t00193	9629.t00194	11667.t00193
191	8350.t00194	9629.t00195	11667.t00194
192	8350.t00195	9629.t00196	11667.t00195
193	8350.t00196	9629.t00197	11667.t00196
194	8350.t00197	9629.t00198	11667.t00197
195	8350.t00198	9629.t00199	11667.t00198
196	8350.t00199	9629.t00200	11667.t00199
197	8350.t00200	9629.t00201	11667.t00200
198	8350.t00201	9629.t00202	11667.t00201
199	8350.t00202	9629.t00203	11667.t00202
200	8350.t00203	9629.t00204	11667.t00203
201	8350.t00204	9629.t00205	11667.t00204
202	8350.t00205	9629.t00206	11667.t00205
203	8350.t00206	9629.t00207	11667.t00206
204	8350.t00208	9629.t00209	11667.t00207
205	8350.t00209	9629.t00210	11667.t00208
206	8350.t00210	9629.t00211	11667.t00209
207	8350.t00211	9629.t00212	11667.t00210
208	8350.t00212	9629.t00213	11667.t00211
209	8350.t00213	9629.t00214	11667.t00212
210	8350.t00214	9629.t00215	11667.t00213
211	8350.t00215	9629.t00216	11667.t00214
212	8350.t00216	9629.t00217	11667.t00215
213	8350.t00217	9629.t00218	11667.t00216
214	8350.t00218	9629.t00219	11667.t00217
215	8350.t00219	9629.t00220	11667.t00218
216	8350.t00220	9629.t00221	11667.t00219
217	8350.t00221	9629.t00222	11667.t00220
218	8350.t00222	9629.t00223	11667.t00221
219	8350.t00223	9629.t00224	11667.t00222
220	8350.t00224	9629.t00225	11667.t00223
221	8350.t00225	9629.t00226	11667.t00224
222	8350.t00226	9629.t00227	11667.t00225
223	8350.t00227	9629.t00228	11667.t00226
224	8350.t00228	9629.t00229	11667.t00227
225	8350.t00229	9629.t00230	11667.t00228
226	8350.t00230	9629.t00231	11667.t00229
227	8350.t00231	9629.t00232	11667.t00230
228	8350.t00232	9629.t00233	11667.t00231
229	8350.t00233	9629.t00234	11667.t00232
230	8350.t00234	9629.t00235	11667.t00233
231	8350.t00235	9629.t00236	11667.t00234
232	8350.t00236	9629.t00237	11667.t00235
233	8350.t00237	9629.t00238	11667.t00236
234	8350.t00238	9629.t00239	11667.t00237
235	8350.t00239	9629.t00240	11667.t00238
236	8350.t00240	9629.t00241	11667.t00239
237	8350.t00241	9629.t00242	11667.t00240
238	8350.t00242	9629.t00243	11667.t00241
239	8350.t00243	9629.t00244	11667.t00242
240	8350.t00244	9629.t00245	11667.t00243
241	8350.t00245	9629.t00246	11667.t00244
242	8350.t00246	9629.t00247	11667.t00245
243	8350.t00247	9629.t00248	11667.t00246
244	8350.t00248	9629.t00249	11667.t00247
245	8350.t00249	9629.t00250	11667.t00248
246	8350.t00250	9629.t00251	11667.t00249
247	8350.t00251	9629.t00252	11667.t00250
248	8350.t00252	9629.t00253	11667.t00251
249	8350.t00253	9629.t00254	11667.t00252
250	8350.t00254	9629.t00255	11667.t00253
251	8350.t00255	9629.t00256	11667.t00254
252	8350.t00257	9629.t00258	11667.t00255
253	8350.t00258	9629.t00259	11667.t00256
254	8350.t00259	9629.t00260	11667.t00257
255	8350.t00260	9629.t00261	11667.t00258
256	8350.t00261	9629.t00262	11667.t00259
257	8350.t00262	9629.t00263	11667.t00260
258	8350.t00263	9629.t00264	11667.t00261
259	8350.t00264	9629.t00265	11667.t00262
260	8350.t00265	9629.t00266	11667.t00263
261	8350.t00266	9629.t00267	11667.t00264
262	8350.t00267	9629.t00268	11667.t00265
263	8350.t00268	9629.t00269	11667.t00266
264	8350.t00269	9629.t00270	11667.t00267
265	8350.t00270	9629.t00271	11667.t00268
266	8350.t00271	9629.t00272	11667.t00269
267	8350.t00272	9629.t00273	11667.t00270
268	8350.t00273	9629.t00274	11667.t00271
269	8350.t00274	9629.t00275	11667.t00272
270	8350.t00275	9629.t00276	11667.t00273
271	8350.t00276	9629.t00277	11667.t00274
272	8350.t00277	9629.t00278	11667.t00275
273	8350.t00278	9629.t00279	11667.t00276
274	8350.t00279	9629.t00280	11667.t00277
275	8350.t00280	9629.t00281	11667.t00278
276	8350.t00281	9629.t00282	11667.t00279
277	8350.t00282	9629.t00283	11667.t00280
278	8350.t00283	9629.t00284	11667.t00282
279	8350.t00284	9629.t00285	11667.t00283
280	8350.t00285	9629.t00286	11667.t00284
281	8350.t00286	9629.t00287	11667.t00285
282	8350.t00287	9629.t00288	11667.t00286
283	8350.t00288	9629.t00289	11667.t00287
284	8350.t00289	9629.t00290	11667.t00288
285	8350.t00290	9629.t00291	11667.t00289
286	8350.t00291	9629.t00292	11667.t00290
287	8350.t00292	9629.t00293	11667.t00291
288	8350.t00293	9629.t00294	11667.t00292
289	8350.t00294	9629.t00295	11667.t00293
290	8350.t00295	9629.t00296	11667.t00294
291	8350.t00297	9629.t00298	11667.t00296
292	8350.t00298	9629.t00299	11667.t00297
293	8350.t00299	9629.t00300	11667.t00298
294	8350.t00300	9629.t00301	11667.t00299
295	8350.t00301	9629.t00302	11667.t00300
296	8350.t00302	9629.t00303	11667.t00301
297	8350.t00303	9629.t00304	11667.t00302
298	8350.t00304	9629.t00305	11667.t00303
299	8350.t00305	9629.t00306	11667.t00304
300	8350.t00306	9629.t00307	11667.t00305
301	8350.t00307	9629.t00308	11667.t00306
302	8350.t00308	9629.t00309	11667.t00307
303	8350.t00309	9629.t00310	11667.t00308
304	8350.t00310	9629.t00311	11667.t00309
305	8350.t00311	9629.t00312	11667.t00310
306	8350.t00312	9629.t00313	11667.t00311
307	8350.t00313	9629.t00314	11667.t00312
308	8350.t00314	9629.t00315	11667.t00313
