213	49	-1	RIGHT_UTR
214	49	-1	CDS
215	49	-1	LEFT_UTR
216	50	-1	MODEL
217	50	-1	EXON
218	50	-1	RIGHT_UTR
219	50	-1	CDS
220	50	-1	LEFT_UTR
221	51	-1	tRNA
222	52	-1	EXON
223	53	-1	MODEL
224	53	-1	EXON
225	53	-1	RIGHT_UTR
226	53	-1	CDS
227	53	-1	LEFT_UTR
228	54	-1	MODEL
229	54	-1	EXON
230	54	-1	RIGHT_UTR
231	54	-1	CDS
232	54	-1	LEFT_UTR
233	55	-1	MODEL
234	55	-1	EXON
235	55	-1	RIGHT_UTR
236	55	-1	CDS
237	55	-1	LEFT_UTR
238	56	-1	MODEL
239	56	-1	EXON
240	56	-1	RIGHT_UTR
241	56	-1	CDS
242	56	-1	LEFT_UTR
243	57	-1	MODEL
244	57	-1	EXON
245	57	-1	RIGHT_UTR
246	57	-1	CDS
247	57	-1	LEFT_UTR
248	58	-1	MODEL
249	58	-1	EXON
250	58	-1	RIGHT_UTR
251	58	-1	CDS
252	58	-1	LEFT_UTR
253	59	-1	MODEL
254	59	-1	RIGHT_UTR
255	59	-1	EXON
256	59	-1	CDS
257	59	-1	LEFT_UTR
258	60	-1	MODEL
259	60	-1	RIGHT_UTR
260	60	-1	CDS
261	60	-1	EXON
262	60	-1	LEFT_UTR
263	61	-1	MODEL
264	61	-1	EXON
265	61	-1	RIGHT_UTR
266	61	-1	CDS
267	61	-1	LEFT_UTR
268	62	-1	MODEL
269	62	-1	EXON
270	62	-1	CDS
271	63	-1	MODEL
272	63	-1	EXON
273	63	-1	RIGHT_UTR
274	63	-1	CDS
275	63	-1	LEFT_UTR
276	64	-1	MODEL
277	64	-1	EXON
278	64	-1	RIGHT_UTR
279	64	-1	CDS
280	64	-1	LEFT_UTR
281	65	-1	MODEL
282	65	-1	EXON
283	65	-1	RIGHT_UTR
284	65	-1	CDS
285	65	-1	LEFT_UTR
286	66	-1	MODEL
287	66	-1	EXON
288	66	-1	RIGHT_UTR
289	66	-1	CDS
290	66	-1	LEFT_UTR
291	67	-1	MODEL
292	67	-1	RIGHT_UTR
293	67	-1	CDS
294	67	-1	LEFT_UTR
295	67	-1	EXON
296	68	-1	MODEL
297	68	-1	RIGHT_UTR
298	68	-1	CDS
299	68	-1	EXON
300	68	-1	LEFT_UTR
301	69	-1	MODEL
302	69	-1	EXON
303	69	-1	CDS
304	70	-1	MODEL
305	70	-1	CDS
306	70	-1	LEFT_UTR
307	70	-1	EXON
308	71	-1	MODEL
309	71	-1	RIGHT_UTR
310	71	-1	CDS
311	71	-1	EXON
312	71	-1	LEFT_UTR
313	72	-1	MODEL
314	72	-1	RIGHT_UTR
315	72	-1	EXON
316	72	-1	CDS
317	72	-1	LEFT_UTR
318	73	-1	ncRNA
319	74	-1	EXON
320	75	-1	EXON
321	76	-1	EXON
322	77	-1	MODEL
323	77	-1	CDS
324	77	-1	EXON
325	78	-1	MODEL
326	78	-1	RIGHT_UTR
327	78	-1	CDS
328	78	-1	EXON
329	78	-1	LEFT_UTR
330	79	-1	MODEL
331	79	-1	RIGHT_UTR
332	79	-1	CDS
333	79	-1	LEFT_UTR
334	79	-1	EXON
335	80	-1	MODEL
336	80	-1	EXON
337	80	-1	RIGHT_UTR
338	80	-1	CDS
339	80	-1	LEFT_UTR
340	81	-1	MODEL
341	81	-1	RIGHT_UTR
342	81	-1	CDS
343	81	-1	EXON
344	81	-1	LEFT_UTR
345	82	-1	MODEL
346	82	-1	EXON
347	82	-1	CDS
348	83	-1	MODEL
349	83	-1	EXON
350	83	-1	RIGHT_UTR
351	83	-1	CDS
352	83	-1	LEFT_UTR
353	84	-1	MODEL
354	84	-1	EXON
355	84	-1	RIGHT_UTR
356	84	-1	CDS
357	84	-1	LEFT_UTR
358	85	-1	MODEL
359	85	-1	RIGHT_UTR
360	85	-1	CDS
361	85	-1	EXON
362	85	-1	LEFT_UTR
363	86	-1	MODEL
364	86	-1	RIGHT_UTR
365	86	-1	EXON
366	86	-1	CDS
367	86	-1	LEFT_UTR
368	87	-1	MODEL
369	87	-1	EXON
370	87	-1	RIGHT_UTR
371	87	-1	CDS
372	87	-1	LEFT_UTR
373	88	-1	MODEL
374	88	-1	EXON
375	88	-1	RIGHT_UTR
376	88	-1	CDS
377	88	-1	LEFT_UTR
378	89	-1	MODEL
379	89	-1	EXON
380	89	-1	CDS
381	90	-1	MODEL
382	90	-1	RIGHT_UTR
383	90	-1	CDS
384	90	-1	EXON
385	91	-1	MODEL
386	91	-1	EXON
387	91	-1	RIGHT_UTR
388	91	-1	CDS
389	91	-1	LEFT_UTR
390	92	-1	MODEL
391	92	-1	EXON
392	92	-1	RIGHT_UTR
393	92	-1	CDS
394	92	-1	LEFT_UTR
395	93	-1	MODEL
396	93	-1	EXON
397	93	-1	RIGHT_UTR
398	93	-1	CDS
399	93	-1	LEFT_UTR
400	94	-1	MODEL
401	94	-1	EXON
402	94	-1	RIGHT_UTR
403	94	-1	CDS
404	94	-1	LEFT_UTR
405	95	-1	MODEL
406	95	-1	EXON
407	95	-1	RIGHT_UTR
408	95	-1	CDS
409	95	-1	LEFT_UTR
410	96	-1	MODEL
411	96	-1	EXON
412	96	-1	RIGHT_UTR
413	96	-1	CDS
414	97	-1	MODEL
415	97	-1	EXON
416	97	-1	CDS
417	98	-1	MODEL
418	98	-1	EXON
419	98	-1	CDS
420	98	-1	LEFT_UTR
421	99	-1	MODEL
422	99	-1	EXON
423	99	-1	CDS
424	100	-1	MODEL
425	100	-1	EXON
426	100	-1	RIGHT_UTR
427	100	-1	CDS
428	100	-1	LEFT_UTR
429	101	-1	MODEL
430	101	-1	RIGHT_UTR
431	101	-1	CDS
432	101	-1	EXON
433	101	-1	LEFT_UTR
434	102	-1	MODEL
435	102	-1	RIGHT_UTR
436	102	-1	CDS
437	102	-1	EXON
438	102	-1	LEFT_UTR
439	103	-1	MODEL
440	103	-1	RIGHT_UTR
441	103	-1	EXON
442	103	-1	CDS
443	103	-1	LEFT_UTR
444	104	-1	MODEL
445	104	-1	EXON
446	104	-1	RIGHT_UTR
447	104	-1	CDS
448	104	-1	LEFT_UTR
449	105	-1	MODEL
450	105	-1	RIGHT_UTR
451	105	-1	EXON
452	105	-1	CDS
453	105	-1	LEFT_UTR
454	106	-1	MODEL
455	106	-1	RIGHT_UTR
456	106	-1	EXON
457	106	-1	CDS
458	106	-1	LEFT_UTR
459	107	-1	MODEL
460	107	-1	RIGHT_UTR
461	107	-1	CDS
462	107	-1	EXON
463	107	-1	LEFT_UTR
464	108	-1	MODEL
465	108	-1	RIGHT_UTR
466	108	-1	EXON
467	108	-1	CDS
468	108	-1	LEFT_UTR
469	109	-1	MODEL
470	109	-1	CDS
471	109	-1	EXON
472	110	-1	MODEL
473	110	-1	RIGHT_UTR
474	110	-1	EXON
475	110	-1	CDS
476	110	-1	LEFT_UTR
477	111	-1	MODEL
478	111	-1	RIGHT_UTR
479	111	-1	CDS
480	111	-1	EXON
481	112	-1	MODEL
482	112	-1	EXON
483	112	-1	RIGHT_UTR
484	112	-1	CDS
485	112	-1	LEFT_UTR
486	113	-1	MODEL
487	113	-1	EXON
488	113	-1	CDS
489	114	-1	MODEL
490	114	-1	CDS
491	114	-1	EXON
492	115	-1	MODEL
493	115	-1	EXON
494	115	-1	RIGHT_UTR
495	115	-1	CDS
496	115	-1	LEFT_UTR
497	116	-1	MODEL
498	116	-1	EXON
499	116	-1	RIGHT_UTR
500	116	-1	CDS
501	116	-1	LEFT_UTR
502	117	-1	MODEL
503	117	-1	RIGHT_UTR
504	117	-1	CDS
505	117	-1	EXON
506	117	-1	LEFT_UTR
507	118	-1	MODEL
508	118	-1	EXON
509	118	-1	RIGHT_UTR
510	118	-1	CDS
511	118	-1	LEFT_UTR
512	119	-1	MODEL
513	119	-1	CDS
514	119	-1	EXON
515	120	-1	MODEL
516	120	-1	EXON
517	120	-1	RIGHT_UTR
518	120	-1	CDS
519	120	-1	LEFT_UTR
520	121	-1	MODEL
521	121	-1	CDS
522	121	-1	EXON
523	121	-1	LEFT_UTR
524	122	-1	MODEL
525	122	-1	EXON
526	122	-1	RIGHT_UTR
527	122	-1	CDS
528	122	-1	LEFT_UTR
529	123	-1	MODEL
530	123	-1	EXON
531	123	-1	RIGHT_UTR
532	123	-1	CDS
533	123	-1	LEFT_UTR
534	124	-1	MODEL
535	124	-1	EXON
536	124	-1	CDS
537	124	-1	LEFT_UTR
538	125	-1	MODEL
539	125	-1	EXON
540	125	-1	RIGHT_UTR
541	125	-1	CDS
542	125	-1	LEFT_UTR
543	126	-1	MODEL
544	126	-1	EXON
545	126	-1	RIGHT_UTR
546	126	-1	CDS
547	126	-1	LEFT_UTR
548	127	-1	MODEL
549	127	-1	EXON
550	127	-1	RIGHT_UTR
551	127	-1	CDS
552	127	-1	LEFT_UTR
553	128	-1	MODEL
554	128	-1	RIGHT_UTR
555	128	-1	EXON
556	128	-1	CDS
557	128	-1	LEFT_UTR
